hiseq_id,sample_id,library,observed_stage,stage,sex,site_shrt,region,site,year,month,latitude,longitude,pcl,fl,tl
EGM_6-38,JG_2016027,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56617,-82.57372,420,470,570
EGM_6-39,JG_2016025,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56347,-82.57019,420,470,580
EGM_6-40,JG_2016007,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56631,-82.57346,420,460,580
EGM_6-41,JG_2016008,6,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56631,-82.57346,380,430,510
EGM_6-42,JG_2016011,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56631,-82.57346,430,480,590
EGM_8-03,JG_5231,8,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2018,MAY,27.5611,-82.5714,370,410,510
EGM_8-04,JG_52310,8,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2018,MAY,27.5611,-82.5714,410,460,560
EGM_8-05,JG_52311,8,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2018,MAY,27.5611,-82.5714,410,460,560
EGM_8-06,JG_7090562,8,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2018,JUL,27.54906,-82.58159,470,520,640
EGM_8-07,JG_7090537,8,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2018,JUL,27.54906,-82.58159,450,510,620
EGM_8-10,JG_7090518,8,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2018,JUL,27.54906,-82.58159,470,540,630
EGM_8-11,JG_7090517,8,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2018,JUL,27.54906,-82.58159,460,520,640
EGM_8-12,JG_7090504,8,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2018,JUL,27.54906,-82.58159,600,670,820
EGM_8-13,JG_7090502,8,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2018,JUL,27.54906,-82.58159,470,520,640
EGM_8-14,JG_5232,8,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2018,MAY,27.5611,-82.5714,570,630,780
EGM_8-15,JG_5234,8,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2018,MAY,27.5611,-82.5714,410,460,550
EGM_8-16,JG_5235,8,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2018,MAY,27.5611,-82.5714,390,430,530
EGM_8-17,JG_5237,8,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2018,MAY,27.5611,-82.5714,420,480,570
EGM_8-18,JG_6140408,8,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2018,JUN,27.55791,-82.58922,410,460,560
EGM_8-19,JG_52312,8,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2018,MAY,27.5611,-82.5714,420,470,570
